Type,Level,Hitpoints,Damage,Damage per second,Death Damage,Production Speed,Duration (sec),Area Damage,CrownTower Damage
GoblinHut,1,700,0,0,0,0,0,0,0
GoblinHut,2,770,0,0,0,0,0,0,0
GoblinHut,3,847,0,0,0,0,0,0,0
GoblinHut,4,931,0,0,0,0,0,0,0
GoblinHut,5,1022,0,0,0,0,0,0,0
GoblinHut,6,1120,0,0,0,0,0,0,0
GoblinHut,7,1232,0,0,0,0,0,0,0
GoblinHut,8,1351,0,0,0,0,0,0,0
GoblinHut,9,1484,0,0,0,0,0,0,0
GoblinHut,10,1631,0,0,0,0,0,0,0
BombTower,1,900,100,58,0,0,0,100,100
BombTower,2,990,110,65,0,0,0,110,110
BombTower,3,1089,121,71,0,0,0,121,121
BombTower,4,1197,133,78,0,0,0,133,133
BombTower,5,1314,146,86,0,0,0,146,146
BombTower,6,1440,160,94,0,0,0,160,160
BombTower,7,1584,176,103,0,0,0,176,176
BombTower,8,1737,193,120,0,0,0,193,193
BombTower,9,1908,212,125,0,0,0,212,212
BombTower,10,2097,233,145,0,0,0,233,233
Tombstone,1,200,0,0,0,0,0,0,0
Tombstone,2,220,0,0,0,0,0,0,0
Tombstone,3,242,0,0,0,0,0,0,0
Tombstone,4,266,0,0,0,0,0,0,0
Tombstone,5,292,0,0,0,0,0,0,0
Tombstone,6,320,0,0,0,0,0,0,0
Tombstone,7,352,0,0,0,0,0,0,0
Tombstone,8,386,0,0,0,0,0,0,0
Tombstone,9,424,0,0,0,0,0,0,0
Tombstone,10,466,0,0,0,0,0,0,0
Cannon,1,450,60,75,0,0,0,0,0
Cannon,2,495,66,82,0,0,0,0,0
Cannon,3,545,72,90,0,0,0,0,0
Cannon,4,598,79,98,0,0,0,0,0
Cannon,5,657,85,106,0,0,0,0,0
Cannon,6,720,96,120,0,0,0,0,0
Cannon,7,792,105,131,0,0,0,0,0
Cannon,8,868,115,143,0,0,0,0,0
Cannon,9,954,127,158,0,0,0,0,0
Cannon,10,1048,139,173,0,0,0,0,0
Cannon,11,1152,153,191,0,0,0,0,0
Cannon,12,1264,168,210,0,0,0,0,0
BarbarianHut,1,1100,0,0,0,0,0,0,0
BarbarianHut,2,1210,0,0,0,0,0,0,0
BarbarianHut,3,1331,0,0,0,0,0,0,0
BarbarianHut,4,1463,0,0,0,0,0,0,0
BarbarianHut,5,1606,0,0,0,0,0,0,0
BarbarianHut,6,1760,0,0,0,0,0,0,0
BarbarianHut,7,1936,0,0,0,0,0,0,0
BarbarianHut,8,2123,0,0,0,0,0,0,0
BarbarianHut,9,2332,0,0,0,0,0,0,0
BarbarianHut,10,2563,0,0,0,0,0,0,0
Xbow,1,850,20,66,0,0,0,0,0
Xbow,2,935,22,73,0,0,0,0,0
Xbow,3,1028,24,80,0,0,0,0,0
Xbow,4,1130,26,86,0,0,0,0,0
Xbow,5,1241,29,96,0,0,0,0,0
Xbow,6,1360,32,106,0,0,0,0,0
Xbow,7,1496,35,116,0,0,0,0,0
Xbow,8,1640,38,126,0,0,0,0,0
Tesla,1,400,64,91,0,0,0,0,0
Tesla,2,440,70,100,0,0,0,0,0
Tesla,3,483,77,110,0,0,0,0,0
Tesla,4,530,85,121,0,0,0,0,0
Tesla,5,584,93,132,0,0,0,0,0
Tesla,6,640,102,145,0,0,0,0,0
Tesla,7,704,112,160,0,0,0,0,0
Tesla,8,772,123,175,0,0,0,0,0
Tesla,9,845,135,192,0,0,0,0,0
Tesla,10,932,149,212,0,0,0,0,0
Tesla,11,1024,163,232,0,0,0,0,0
Tesla,12,1124,179,255,0,0,0,0,0
InfernoTower,1,800,20,50,1000,0,0,0,0
InfernoTower,2,880,22,55,1100,0,0,0,0
InfernoTower,3,968,24,60,1210,0,0,0,0
InfernoTower,4,1064,26,65,1330,0,0,0,0
InfernoTower,5,1168,29,72,1460,0,0,0,0
InfernoTower,6,1280,32,80,1600,0,0,0,0
InfernoTower,7,1408,35,87,1760,0,0,0,0
InfernoTower,8,1544,38,95,1930,0,0,0,0
InfernoTower,9,1696,42,105,2120,0,0,0,0
InfernoTower,10,1864,46,115,2330,0,0,0,0
Mortar,1,600,120,24,0,0,0,120,120
Mortar,2,660,132,26,0,0,0,132,132
Mortar,3,726,145,29,0,0,0,145,145
Mortar,4,798,159,31,0,0,0,159,159
Mortar,5,876,175,35,0,0,0,175,175
Mortar,6,960,192,38,0,0,0,192,192
Mortar,7,1056,211,42,0,0,0,211,211
Mortar,8,1158,232,46,0,0,0,232,232
Mortar,9,1272,254,50,0,0,0,254,254
Mortar,10,1398,279,55,0,0,0,279,279
Mortar,11,1536,307,61,0,0,0,307,307
Mortar,12,1686,337,67,0,0,0,337,337
ElixirCollector,1,800,0,0,0,9800,0,0,0
ElixirCollector,2,880,0,0,0,9800,0,0,0
ElixirCollector,3,968,0,0,0,9800,0,0,0
ElixirCollector,4,1064,0,0,0,9800,0,0,0
ElixirCollector,5,1168,0,0,0,9800,0,0,0
ElixirCollector,6,1280,0,0,0,9800,0,0,0
ElixirCollector,7,1408,0,0,0,9800,0,0,0
ElixirCollector,8,1544,0,0,0,9800,0,0,0
ElixirCollector,9,1696,0,0,0,9800,0,0,0
ElixirCollector,10,1864,0,0,0,9800,0,0,0
PrincessTower,1,1400,50,50,0,0,0,0,0
PrincessTower,2,1512,54,54,0,0,0,0,0
PrincessTower,3,1624,58,58,0,0,0,0,0
PrincessTower,4,1750,62,62,0,0,0,0,0
PrincessTower,5,1890,67,67,0,0,0,0,0
PrincessTower,6,2030,72,72,0,0,0,0,0
PrincessTower,7,2184,78,78,0,0,0,0,0
PrincessTower,8,2352,84,84,0,0,0,0,0
PrincessTower,9,2534,90,90,0,0,0,0,0
PrincessTower,10,2730,97,97,0,0,0,0,0
PrincessTower,11,2940,105,105,0,0,0,0,0
PrincessTower,12,3164,113,113,0,0,0,0,0
KingTower,1,2400,50,0,0,0,0,0,0
KingTower,2,2568,53,0,0,0,0,0,0
KingTower,3,2736,57,0,0,0,0,0,0
KingTower,4,2904,60,0,0,0,0,0,0
KingTower,5,3096,64,0,0,0,0,0,0
KingTower,6,3312,69,0,0,0,0,0,0
KingTower,7,3528,73,0,0,0,0,0,0
KingTower,8,3768,78,0,0,0,0,0,0
KingTower,9,4008,83,0,0,0,0,0,0
KingTower,10,4272,89,0,0,0,0,0,0
KingTower,11,4560,95,0,0,0,0,0,0
KingTower,12,4872,101,0,0,0,0,0,0
