Type,Deploy Event,Attack Event,Die Event
Knight,Deploy,Attack,Die
Archer,Deploy,Attack,Die
Goblin,Deploy,Attack,Die
Giant,Deploy,Attack,Die
Pekka,Deploy,Attack,Die
Minion,Deploy,Attack,Die
Balloon,Deploy,Attack,Die
Witch,Deploy,Attack,Die
Skeleton,Deploy,Attack,Die
Barbarian,Deploy,Attack,Die
Golem,Deploy,Attack,Die
Golemite,Deploy,Attack,Die
Valkyrie,Deploy,Attack,Die
Bomber,Deploy,Attack,Die
Musketeer,Deploy,Attack,Die
BabyDragon,Deploy,Attack,Die
MiniPekka,Deploy,Attack,Die
Wizard,Deploy,Attack,Die
Prince,Deploy,Attack,Die
SpearGoblin,Deploy,Attack,Die
GiantSkeleton,Deploy,Attack,Die
HogRider,Deploy,Attack,Die
PrincessB,Deploy,Attack,Die
KingTower,Deploy,Attack,Die
PrincessTower,Deploy,Attack,Die
Cannon,Deploy,Attack,Die
GoblinHut,Deploy,Attack,Die
Mortar,Deploy,Attack,Die
InfernoTower,Deploy,Attack,Die
BombTower,Deploy,Attack,Die
BarbarianHut,Deploy,Attack,Die
Tesla,Deploy,Attack,Die
ElixirCollector,Deploy,Attack,Die
Xbow,Deploy,Attack,Die
Tombstone,Deploy,Attack,Die
GiantSkeletonBomb,Deploy,Attack,Die
BalloonBomb,Deploy,Attack,Die
Fireball,Deploy,Attack,0
Arrows,Deploy,Attack,0
Rage,Deploy,Attack,0
Rocket,Deploy,Attack,0
GoblinBarrel,Deploy,Attack,0
Freeze,Deploy,Attack,0
Mirror,Deploy,Attack,0
Lightning,Deploy,Attack,0
Zap,Deploy,Attack,0
