"cardtype","level","cardneed"
"Knight","1","0"
"Knight","2","2"
"Knight","3","4"
"Knight","4","10"
"Knight","5","20"
"Knight","6","50"
"Knight","7","100"
"Knight","8","200"
"Knight","9","400"
"Knight","10","800"
"Knight","11","2000"
"Knight","12","5000"
"Giant","1","0"
"Giant","2","2"
"Giant","3","4"
"Giant","4","10"
"Giant","5","20"
"Giant","6","50"
"Giant","7","100"
"Giant","8","200"
"Giant","9","500"
"Giant","10","1000"
"Bomber","1","0"
"Bomber","2","2"
"Bomber","3","4"
"Bomber","4","10"
"Bomber","5","20"
"Bomber","6","50"
"Bomber","7","100"
"Bomber","8","200"
"Bomber","9","400"
"Bomber","10","800"
"Bomber","11","2000"
"Bomber","12","5000"
"Archer","1","0"
"Archer","2","2"
"Archer","3","4"
"Archer","4","10"
"Archer","5","20"
"Archer","6","50"
"Archer","7","100"
"Archer","8","200"
"Archer","9","400"
"Archer","10","800"
"Archer","11","2000"
"Archer","12","5000"
"Musketeer","1","0"
"Musketeer","2","2"
"Musketeer","3","4"
"Musketeer","4","10"
"Musketeer","5","20"
"Musketeer","6","50"
"Musketeer","7","100"
"Musketeer","8","200"
"Musketeer","9","500"
"Musketeer","10","1000"
"MiniPekka","1","0"
"MiniPekka","2","2"
"MiniPekka","3","4"
"MiniPekka","4","10"
"MiniPekka","5","20"
"MiniPekka","6","50"
"MiniPekka","7","100"
"MiniPekka","8","200"
"MiniPekka","9","500"
"MiniPekka","10","1000"
"BabyDragon","1","0"
"BabyDragon","2","2"
"BabyDragon","3","4"
"BabyDragon","4","10"
"BabyDragon","5","20"
"BabyDragon","6","50"
"BabyDragon","7","100"
"BabyDragon","8","300"
"Prince","1","0"
"Prince","2","2"
"Prince","3","4"
"Prince","4","10"
"Prince","5","20"
"Prince","6","50"
"Prince","7","100"
"Prince","8","300"
"Witch","1","0"
"Witch","2","2"
"Witch","3","4"
"Witch","4","10"
"Witch","5","20"
"Witch","6","50"
"Witch","7","100"
"Witch","8","300"
"SpearGoblins","1","0"
"SpearGoblins","2","2"
"SpearGoblins","3","4"
"SpearGoblins","4","10"
"SpearGoblins","5","20"
"SpearGoblins","6","50"
"SpearGoblins","7","100"
"SpearGoblins","8","200"
"SpearGoblins","9","400"
"SpearGoblins","10","800"
"SpearGoblins","11","2000"
"SpearGoblins","12","5000"
"Goblins","1","0"
"Goblins","2","2"
"Goblins","3","4"
"Goblins","4","10"
"Goblins","5","20"
"Goblins","6","50"
"Goblins","7","100"
"Goblins","8","200"
"Goblins","9","400"
"Goblins","10","800"
"Goblins","11","2000"
"Goblins","12","5000"
"Valkyrie","1","0"
"Valkyrie","2","2"
"Valkyrie","3","4"
"Valkyrie","4","10"
"Valkyrie","5","20"
"Valkyrie","6","50"
"Valkyrie","7","100"
"Valkyrie","8","200"
"Valkyrie","9","500"
"Valkyrie","10","1000"
"Skeletons","1","0"
"Skeletons","2","2"
"Skeletons","3","4"
"Skeletons","4","10"
"Skeletons","5","20"
"Skeletons","6","50"
"Skeletons","7","100"
"Skeletons","8","200"
"Skeletons","9","400"
"Skeletons","10","800"
"Skeletons","11","2000"
"Skeletons","12","5000"
"Minions","1","0"
"Minions","2","2"
"Minions","3","4"
"Minions","4","10"
"Minions","5","20"
"Minions","6","50"
"Minions","7","100"
"Minions","8","200"
"Minions","9","400"
"Minions","10","800"
"Minions","11","2000"
"Minions","12","5000"
"GiantSkeleton","1","0"
"GiantSkeleton","2","2"
"GiantSkeleton","3","4"
"GiantSkeleton","4","10"
"GiantSkeleton","5","20"
"GiantSkeleton","6","50"
"GiantSkeleton","7","100"
"GiantSkeleton","8","300"
"Balloon","1","0"
"Balloon","2","2"
"Balloon","3","4"
"Balloon","4","10"
"Balloon","5","20"
"Balloon","6","50"
"Balloon","7","100"
"Balloon","8","300"
"Barbarians","1","0"
"Barbarians","2","2"
"Barbarians","3","4"
"Barbarians","4","10"
"Barbarians","5","20"
"Barbarians","6","50"
"Barbarians","7","100"
"Barbarians","8","200"
"Barbarians","9","400"
"Barbarians","10","800"
"Barbarians","11","2000"
"Barbarians","12","5000"
"Pekka","1","0"
"Pekka","2","2"
"Pekka","3","4"
"Pekka","4","10"
"Pekka","5","20"
"Pekka","6","50"
"Pekka","7","100"
"Pekka","8","300"
"HogRider","1","0"
"HogRider","2","2"
"HogRider","3","4"
"HogRider","4","10"
"HogRider","5","20"
"HogRider","6","50"
"HogRider","7","100"
"HogRider","8","200"
"HogRider","9","500"
"HogRider","10","1000"
"Wizard","1","0"
"Wizard","2","2"
"Wizard","3","4"
"Wizard","4","10"
"Wizard","5","20"
"Wizard","6","50"
"Wizard","7","100"
"Wizard","8","200"
"Wizard","9","500"
"Wizard","10","1000"
"Golem","1","0"
"Golem","2","2"
"Golem","3","4"
"Golem","4","10"
"Golem","5","20"
"Golem","6","50"
"Golem","7","100"
"Golem","8","300"
"SkeletonArmy","1","0"
"SkeletonArmy","2","2"
"SkeletonArmy","3","4"
"SkeletonArmy","4","10"
"SkeletonArmy","5","20"
"SkeletonArmy","6","50"
"SkeletonArmy","7","100"
"SkeletonArmy","8","300"
"MinionHorde","1","0"
"MinionHorde","2","2"
"MinionHorde","3","4"
"MinionHorde","4","10"
"MinionHorde","5","20"
"MinionHorde","6","50"
"MinionHorde","7","100"
"MinionHorde","8","200"
"MinionHorde","9","400"
"MinionHorde","10","800"
"MinionHorde","11","2000"
"MinionHorde","12","5000"
