"type","deploytime","sightrange","range","chargerange","speed","hitspeed","loadtime","attacksground","attacksair","targetonlybuildings","deathdamageradius","deathpushback","pushback","ignorepushback","collisionradius","mass","spawnstarttime","spawninterval","spawnnumber","spawnlimit","spawnpausetime","spawncharacterlevelindex","spawncharacter","lifetime","radius","healthbaroffsety","deployeffect"
"Knight","1000","6000","1500","0","60","1100","700","TRUE","FALSE","FALSE","0","0","0","FALSE","500","6","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment1"
"Archer","1000","6000","5500","0","60","1200","1000","TRUE","TRUE","FALSE","0","0","0","FALSE","500","3","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment2"
"Goblin","1000","6000","1000","0","120","1100","900","TRUE","FALSE","FALSE","0","0","0","FALSE","500","2","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment3"
"Giant","1000","8000","2000","0","45","1500","1000","TRUE","FALSE","TRUE","0","0","0","TRUE","750","18","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment4"
"Pekka","3000","6000","1500","0","45","1800","1200","TRUE","FALSE","FALSE","0","0","0","TRUE","750","18","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment5"
"Minion","1000","6000","2500","0","90","1000","500","TRUE","TRUE","FALSE","0","0","0","FALSE","500","2","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment6"
"Balloon","1000","8000","400","0","60","3000","2800","TRUE","FALSE","TRUE","0","0","0","TRUE","300","6","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment7"
"Witch","1000","6000","5500","0","60","700","200","TRUE","TRUE","FALSE","0","0","0","FALSE","500","4","0","300","3","0","6900","5","Skeleton","0","0","0","T5TroopDeployment8"
"Skeleton","1000","6000","750","0","90","1000","500","TRUE","FALSE","FALSE","0","0","0","FALSE","500","1","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment9"
"Barbarian","1000","6000","1200","0","60","1500","1000","TRUE","FALSE","FALSE","0","0","0","FALSE","500","4","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment10"
"Golem","3000","8000","1500","0","45","2500","1500","TRUE","FALSE","TRUE","2000","1800","0","TRUE","750","20","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment11"
"Golemite","1000","8000","750","0","45","2500","1500","TRUE","FALSE","TRUE","2000","1800","0","FALSE","500","6","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment12"
"Valkyrie","1000","6000","1500","0","60","1500","1300","TRUE","FALSE","FALSE","0","0","0","TRUE","500","5","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment13"
"Bomber","1000","6000","5000","0","60","1900","1700","TRUE","FALSE","FALSE","0","0","0","FALSE","500","4","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment14"
"Musketeer","1000","6500","6500","0","60","1100","600","TRUE","TRUE","FALSE","0","0","0","FALSE","750","5","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment15"
"BabyDragon","1000","6000","3500","0","90","1800","1300","TRUE","TRUE","FALSE","0","0","0","TRUE","500","5","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment16"
"MiniPekka","1000","6000","1500","0","90","1800","1300","TRUE","FALSE","FALSE","0","0","0","TRUE","450","4","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment17"
"Wizard","1000","6000","5500","0","60","1700","1500","TRUE","TRUE","FALSE","0","0","0","FALSE","700","5","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment18"
"Prince","1000","6000","2500","250","60","1500","1000","TRUE","FALSE","FALSE","0","0","0","TRUE","650","6","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment19"
"SpearGoblin","1000","6000","5500","0","120","1300","1100","TRUE","TRUE","FALSE","0","0","0","FALSE","500","1","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment20"
"GiantSkeleton","1000","6000","2000","0","60","1500","1000","TRUE","FALSE","FALSE","0","0","0","TRUE","1200","15","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment21"
"HogRider","1000","10000","1400","0","120","1500","1000","TRUE","FALSE","TRUE","0","0","0","FALSE","600","4","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment22"
"PrincessB","1000","6000","5500","0","60","1200","1000","TRUE","TRUE","FALSE","0","0","0","FALSE","500","3","0","0","0","0","0","0","None","0","0","0","T5TroopDeployment23"
