"Code Reference"," English"," Arabic"
"About_Title "," نبذة"," About"
"About_BtnCredit "," فريق العمل"," Credits"
"About_BtnFacebook "," فيسبوك"," Facebook"
"About_BtnPolicy "," سياسة الخصوصية"," Privacy Policy"
"About_BtnTermService "," شروط الخدمة"," Terms of Service"
"About_BtnTwitter "," تويتر"," Twitter"
"Achievements_LabelCompleted "," أكملت:"," Completed:"
"Achievements_Title "," الإنجازات"," Achievements"
"Achivements_LabelGameCenter "," "," "
"Achivements_btnChallenge_Label "," تحدى",""
"أصدقائك"," CHALLENGE",""
"FRIENDs","",""
"Achivements_BtnClaimReward_Label "," إجمع",""
"الجوائز"," Collect",""
"Reward","",""
"Achivements_FinishedLabel "," إكتمل الإنجاز!"," Completed!"
"Achivements_AchivementRow_RewardText "," الجائزة"," Rewards"
"Achivements_largerchests_Name "," خزانات أكبر"," Larger Chests"
"Achivements_getthosesalukis_Name "," احصل على الكلاب السلوقية!"," Get those Salukis!"
"Achivements_biggerbetter_Name "," أكبر وأفضل"," Bigger & Better"
"Achivements_cleantidy_Name "," نظيف ومرتب"," Clean & Tidy"
"Achivements_releasethearchers_Name "," حرر الرماة!"," Release the Archers!"
"Achivements_seizegold_Name "," احصل على الذهب"," Seize Gold"
"Achivements_watermirage_Name "," سراب المياه"," Water Mirage"
"Achivements_victoryblitz_Name "," غارة النصر!"," Victory Blitz!"
"Achivements_tribebuilder_Name "," مؤسس القبيلة"," Tribe Builder"
"Achivements_walldestroyer_Name "," هادم الجدران"," Wall Destroyer"
"Achivements_nomercy_Name "," بلا رحمة"," No Mercy"
"Achivements_toolbuster_Name "," بناي محترف"," Tool Buster"
"Achivements_victor_Name "," منتصر"," Victor"
"Achivements_toughassteel_Name "," متين كالحديد"," Tough as Steel"
"Achivements_donatordominator_Name "," المتبرع الكريم"," Donator Dominator"
"Achivements_catapultwrecker_Name "," هادم المنجنيق"," Catapult Wrecker"
"Achivements_oilsting_Name "," سلب النفط"," Oil Sting"
"Achivements_largerchests_Description_1 "," طور مخزن الذهب إلى المستوى ~quantity~"," Upgrade a Gold Chest to level ~quantity~"
"Achivements_largerchests_Description_2 "," طور مخزن الذهب إلى المستوى ~quantity~"," Upgrade a Gold Chest to level ~quantity~"
"Achivements_largerchests_Description_3 "," طور مخزن الذهب إلى المستوى ~quantity~"," Upgrade a Gold Chest to level ~quantity~"
"Achivements_getthosesalukis_Description_1 "," إكسب ~quantity~ أهله على خريطة المعارك"," Win ~quantity~ crescents on the Campaign Map"
"Achivements_getthosesalukis_Description_2 "," إكسب ~quantity~ أهله على خريطة المعارك"," Win ~quantity~ crescents on the Campaign Map"
"Achivements_getthosesalukis_Description_3 "," إكسب ~quantity~ أهله على خريطة المعارك"," Win ~quantity~ crescents on the Campaign Map"
"Achivements_biggerbetter_Description_1 "," طور الديوان إلى المستوى ~quantity~"," Upgrade Diwan to level ~quantity~"
"Achivements_biggerbetter_Description_2 "," طور الديوان إلى المستوى ~quantity~"," Upgrade Diwan to level ~quantity~"
"Achivements_biggerbetter_Description_3 "," طور الديوان إلى المستوى ~quantity~"," Upgrade Diwan to level ~quantity~"
"Achivements_cleantidy_Description_1 "," قم بإزالة ~quantity~ عقبات (أشجار، صخور، هياكل عظمية)"," Remove ~quantity~ obstacles (trees, rocks, skeletons)"
"Achivements_cleantidy_Description_2 "," قم بإزالة ~quantity~ عقبات (أشجار، صخور، هياكل عظمية)"," Remove ~quantity~ obstacles (trees, rocks, skeletons)"
"Achivements_cleantidy_Description_3 "," قم بإزالة ~quantity~ عقبات (أشجار، صخور، هياكل عظمية)"," Remove ~quantity~ obstacles (trees, rocks, skeletons)"
"Achivements_releasethearchers_Description_1 "," إطلق رامي السهام في ساحات التدريب"," Unlock Archer in the Training Grounds"
"Achivements_releasethearchers_Description_2 "," إطلق الجربوع في ساحات التدريب"," Unlock Gerbil in the Training Grounds"
"Achivements_releasethearchers_Description_3 "," إطلق الصقر العملاق في ساحات التدريب"," Unlock Giant Falcon in the Training Grounds"
"Achivements_seizegold_Description_1 "," إسرق ~quantity~ عملة ذهبية"," Steal ~quantity~ Gold Coins"
"Achivements_seizegold_Description_2 "," إسرق ~quantity~ عملة ذهبية"," Steal ~quantity~ Gold Coins"
"Achivements_seizegold_Description_3 "," إسرق ~quantity~ عملة ذهبية"," Steal ~quantity~ Gold Coins"
"Achivements_watermirage_Description_1 "," إسرق ~quantity~ من المياه"," Steal ~quantity~ Water"
"Achivements_watermirage_Description_2 "," إسرق ~quantity~ من المياه"," Steal ~quantity~ Water"
"Achivements_watermirage_Description_3 "," إسرق ~quantity~ من المياه"," Steal ~quantity~ Water"
"Achivements_victoryblitz_Description_1 "," إحصل على ~quantity~ خنجر في المعارك الجماعية"," Achieve a total of ~quantity~ Daggers in Multiplayer battles"
"Achivements_victoryblitz_Description_2 "," إحصل على ~quantity~ خنجر في المعارك الجماعية"," Achieve a total of ~quantity~ Daggers in Multiplayer battles"
"Achivements_victoryblitz_Description_3 "," إحصل على ~quantity~ خنجر في المعارك الجماعية"," Achieve a total of ~quantity~ Daggers in Multiplayer battles"
"Achivements_tribebuilder_Description_1 "," أعد بناء مجلس القبيلة"," Rebuild the Tribe Majlis"
"Achivements_tribebuilder_Description_2 "," قم بتطوير مجلس القبيلة إلى المستوى ~quantity~"," Upgrade the Tribe Majlis to level ~quantity~"
"Achivements_tribebuilder_Description_3 "," قم بتطوير مجلس القبيلة إلى المستوى ~quantity~"," Upgrade the Tribe Majlis to level ~quantity~"
"Achivements_walldestroyer_Description_1 "," إهدم ~quantity~ جدران في المعارك الجماعية"," Destroy ~quantity~ Walls in Multiplayer battles"
"Achivements_walldestroyer_Description_2 "," إهدم ~quantity~ جدران في المعارك الجماعية"," Destroy ~quantity~ Walls in Multiplayer battles"
"Achivements_walldestroyer_Description_3 "," إهدم ~quantity~ جدران في المعارك الجماعية"," Destroy ~quantity~ Walls in Multiplayer battles"
"Achivements_nomercy_Description_1 "," دمّر ~quantity~ دواوين في المعارك الجماعية"," Destroy ~quantity~ Diwans in Multiplayer battles"
"Achivements_nomercy_Description_2 "," دمّر ~quantity~ دواوين في المعارك الجماعية"," Destroy ~quantity~ Diwans in Multiplayer battles"
"Achivements_nomercy_Description_3 "," دمّر ~quantity~ دواوين في المعارك الجماعية"," Destroy ~quantity~ Diwans in Multiplayer battles"
"Achivements_toolbuster_Description_1 "," دمّر ~quantity~ كوخ بناي في المعارك الجماعية"," Destroy ~quantity~ Carpenter Shops in Multiplayer battles"
"Achivements_toolbuster_Description_2 "," دمّر ~quantity~ كوخ بناي في المعارك الجماعية"," Destroy ~quantity~ Carpenter Shops in Multiplayer battles"
"Achivements_toolbuster_Description_3 "," دمّر ~quantity~ كوخ بناي في المعارك الجماعية"," Destroy ~quantity~ Carpenter Shops in Multiplayer battles"
"Achivements_victor_Description_1 "," حقق الفوز في ~quantity~ معركة جماعية"," Win ~quantity~ Multiplayer battles"
"Achivements_victor_Description_2 "," حقق الفوز في ~quantity~ معركة جماعية"," Win ~quantity~ Multiplayer battles"
"Achivements_victor_Description_3 "," حقق الفوز في ~quantity~ معركة جماعية"," Win ~quantity~ Multiplayer battles"
"Achivements_toughassteel_Description_1 "," دافع بنجاح في ~quantity~ هجمات"," Successfully defend against ~quantity~ attacks"
"Achivements_toughassteel_Description_2 "," دافع بنجاح في ~quantity~ هجمات"," Successfully defend against ~quantity~ attacks"
"Achivements_toughassteel_Description_3 "," دافع بنجاح في ~quantity~ هجمات"," Successfully defend against ~quantity~ attacks"
"Achivements_donatordominator_Description_1 "," تبرع بتعزيزات بقدر ~quantity~ وحدة إلى مجلس قبيلة"," Donate ~quantity~ Tribe Majlis capacity worth of reinforcements"
"Achivements_donatordominator_Description_2 "," تبرع بتعزيزات بقدر ~quantity~ وحدة إلى مجلس قبيلة"," Donate ~quantity~ Tribe Majlis capacity worth of reinforcements"
"Achivements_donatordominator_Description_3 "," تبرع بتعزيزات بقدر ~quantity~ وحدة إلى مجلس قبيلة"," Donate ~quantity~ Tribe Majlis capacity worth of reinforcements"
"Achivements_catapultwrecker_Description_1 "," دمّر ~quantity~ منجنيق في المعارك الجماعية"," Destroy ~quantity~ Catapults in Multiplayer battles"
"Achivements_catapultwrecker_Description_2 "," دمّر ~quantity~ منجنيق في المعارك الجماعية"," Destroy ~quantity~ Catapults in Multiplayer battles"
"Achivements_catapultwrecker_Description_3 "," دمّر ~quantity~ منجنيق في المعارك الجماعية"," Destroy ~quantity~ Catapults in Multiplayer battles"
"Achivements_oilsting_Description_1 "," إسرق ~quantity~ وحدة نفط"," Steal ~quantity~ Oil"
"Achivements_oilsting_Description_2 "," إسرق ~quantity~ وحدة نفط"," Steal ~quantity~ Oil"
"Achivements_oilsting_Description_3 "," إسرق ~quantity~ وحدة نفط"," Steal ~quantity~ Oil"
"Campaign_BottomLabel "," أعرض أقوى القبائل واللاعبين في جميع أنحاء العالم"," View the strongest Tribes & Players around the world"
"Campaign_BtnFindAMatch "," ابحث عن A",""
" معركة"," FIND A",""
"MATCH","",""
"Campaign_BtnSelfAttack "," هجوم",""
"ذاتي"," SELF",""
"ATTACK","",""
"Campaign_LoadingLabel "," تحميل..."," Loading..."
"Campaign_MatchCost "," تكلفة المباراة"," Match Cost"
"Campaign_SingleText "," معارك منفردة"," Single Player"
"Campaign_MultiPlayerText "," معارك جماعية"," Multiplayer"
"Campaign_AvailableLootText "," الغنائم المتوفرة"," Available Spoils"
"Chat_IntputChatLabel "," يمكنك الكتابة هنا"," You Can Type Here"
"Error_LabelContent "," لا يمكن العثور على منافس حالياً! يرجى المحاولة مرة أخرى بعد بضع دقائق."," Can't find opponents at this time. Please try again in a few minutes."
"Error_Title "," لا يوجد منافس"," No Opponents Available"
"Friends_FBContentName "," إسمي"," My Name"
"Friends_Label "," صديق"," Friend"
"Friends_LabelBirthday "," يوم الميلاد:"," Birthday:"
"Friends_LabelName "," الاسم:"," Name:"
"Friends_Title "," الأصدقاء"," FRIENDS"
"FirstStart_Title "," أدخل اسم المستخدم الخاص بك"," Enter your username"
"FirstStart_Message "," أدخل اسم قريتك المتميز"," Enter your village's unique name"
"FirstStart_BtnContinue "," متابعة"," Continue"
"FirstStart_ErrorMessage "," اسم مستخدم غير صالح أو سبق تسجيله!"," Invalid or taken username!"
"FirstStart_Title_VillageName "," أدخل اسم قريتك"," Enter your village name"
"FirstStart_Message_VillageName "," أدخل اسم قريتك"," Enter your village name"
"FirstStart_ErrorMessage_VillageName "," اسم القرية غير صالح"," Invalid village name"
"panelComic_BtnSkip "," إنهاء"," End"
"Info_BtnUpgrade "," 5000"," 5000"
"Info_LabelBuilding "," معلومات المبنى"," Building Info"
"Info_LabelDisplayName "," ~label~"," ~label~"
"Info_Title "," معلومات"," Info"
"Info_BuildingInfoLabel "," معلومات المبنى"," Building Info"
"Info_UpgradeNameLabel "," ~label~"," ~label~"
"Language_LabelArab "," العربية"," Arabic"
"Language_LabelEnglish "," الإنجليزية"," English"
"Language_Title "," اللغة"," Please Select Your Language"
"Leaderboard_SearchClan_BtnSearch "," بحث"," Search"
"Leaderboard_SearchClan_SearchInputLable "," يمكنك الكتابة هنا"," You can Type Here"
"Leaderboard_SearchClanLabel "," إبحث عن قبيلة:"," Search Tribes:"
"Leaderboard_TabMyLeagueLabel "," رابطتي"," MY LEAGUE"
"Leaderboard_TabSearchClanLabel "," إبحث عن قبيلة"," Search Tribes"
"Leaderboard_TabTopClanLabel "," أفضل قبائل"," Top Tribes"
"Leaderboard_TabTopPlayersLabel "," أفضل لاعبين"," Top Players"
"Leaderboard_TopPlayers_BtnGlobal "," عالمي"," Global"
"Leaderboard_TopPlayers_BtnLocal "," محلي:"," Local:"
"Leaderboard_TopClan_Tournament_Title "," بطولة القبائل"," TRIBE TOURNAMENT"
"Leaderboard_TopClan_Tournament_EndsInText "," تنتهي بعد:"," Ends In:"
"Leaderboard_TopClan_Tournament_RewardDescription "," تتلقى أفضل 3 قبائل: (مقسمة بالتساوي بين أفضل 10 لاعبين في كل قبيلة)"," The Top 3 Tribes Receive: (Divided Equally Among The Top 10 Players Of The tribe)"
"Leaderboard_TopClan_Row_TapToViewText "," اضغط لعرض التفاصيل"," Tap To View Details"
"Leaderboard_TopClan_Row_MemberText "," الأعضاء:"," Members:"
"Leaderboard_Search_SearchText "," إبحث عن قبيلة"," Search Tribes:"
"Leaderboard_Search_BtnSearch "," بحث"," Search"
"Leaderboard_Search_Description "," يرجى كتابة الحروف الأولى من اسم القبيلة التي ترغب في البحث عنها"," Please type the first letters of the tribe you want to search"
"Leaderboard_Search_NoResultText "," لم يتم العثور على نتائج للبحث"," No search results found"
"MainScreen_BtnBattle "," إهجم!"," Battle!"
"MainScreen_BtnAttack "," إهجم!"," Attack"
"MainScreen_BtnShop "," السوق"," Souq"
"MainScreen_Builder "," بناي"," Carpenter"
"MainScreen_MaxGold "," الحد الأقصى ~maxGold~"," Max ~maxGold~"
"MainScreen_MaxEli "," الحد الأقصى ~maxEli~"," Max ~maxEli~"
"MainScreen_MaxDarkEli "," الحد الأقصى ~maxDarkEli~"," Max ~maxDarkEli~"
"MainScreen_Shield "," الدرع"," Armor"
"MainScreen_None "," لا يوجد"," None"
"MainScreen_LevelUpText "," المستوى التالي"," Level Up"
"FightScreen_cresentText_1 "," رائع!"," Awesome!"
"FightScreen_cresentText_2 "," ممتاز!"," Excellent!"
"FightScreen_cresentText_3 "," مثالي!"," Perfect!"
"FightScreen_BtnNext "," المعركة التالية"," Next Battle"
"FightScreen_BtnStop "," إستسلام"," Surrender"
"FightScreen_OveralDamage "," إجمالي الأضرار"," Overall Damage"
"FightScreen_PrepareTxt "," تحضير"," Prepare"
"FightScreen_BattleEndInText "," تنتهي المعركة بعد"," Battle Ends In"
"FightScreen_Wrapper_LoseTrophy "," إذا هزمت"," Defeat"
"FightScreen_Wrapper_Text "," الغنائم المتاحة"," Available Loot"
"FightScreen_MaxCurrencyLabel "," الحد الأقصى: ~maxGold~"," Max: ~maxGold~"
"FightScreen_Water_MaxLiquidLabel "," الحد الأقصى: ~maxEli~"," Max: ~maxEli~"
"FightScreen_DarkWater_MaxLiquidLabel "," الحد الأقصى: ~maxDarkEli~"," Max: ~maxDarkEli~"
"FightScreen_Result_Win "," حققت الفوز!"," You win!"
"FightScreen_Result_Lose "," خسرت..."," You lose..."
"FightScreen_Result_RewardText "," حصلت على"," You Got"
"FightScreen_Result_TroopText "," القوات المستنزفة"," Troops Expended"
"FightScreen_Result_BtnReturn "," العودة للقرية"," Back To Village"
"FightScreen_Replay_OveralDamageText "," إجمالي الأضرار"," Overall Damage"
"FightScreen_Replay_ReplayEndInText "," تنتهي الإعادة بعد"," Replay Ends In"
"FightScreen_Replay_AttackerText "," المهاجم"," Attacker"
"FightScreen_Replay_DefenderText "," المدافع"," Defender"
"NotEnough_BtnFinish "," 100"," 100"
"NotEnough_BtnOpenShop "," دخول السوق"," Enter Souq"
"NotEnough_Title_FinishNow "," عجل العملية"," Finish now"
"NotEnough_Title_FreeBuilder "," جميع البنايين مشغولين"," All carpenters are busy"
"NotEnough_Title_HealHero "," عالج الآن!"," Heal Now!"
"NotEnough_Title_Boost "," زد الانتاج!"," Boost Production!"
"NotEnough_Title_PurchaseResource "," هل تريد شراء ~resourceType~؟"," Buy ~resourceType~?"
"NotEnough_Title_PurchaseShield "," هل تريد شراء درع؟"," Buy Armor?"
"NotEnough_Title_OpenShopTreasure "," لا يوجد ما يكفي من اللآلئ"," Not Enough Pearl"
"NotEnough_Title_BuyMore "," تحتاج إلى المزيد من ~resource_type~"," You need more ~resource_type~"
"NotEnough_Title_Confirm_Cancel "," وقف الإزالة؟"," Stop Removal?"
"NotEnough_Title_Sell "," هل أنت متأكد؟"," Are You Sure?"
"NotEnough_Label_OpenShopTreasure "," هل تود الحصول على المزيد؟"," Do you want to get more?"
"NotEnough_Label_FinishNow "," هل تريد إنهاء تطوير ~name~ مقابل ~resourceType~ ~price~؟"," Do you want to finish the upgrade of ~name~ for ~price~ ~resourceType~?"
"NotEnough_Label_FreeBuilder "," هل تريد استكمال البناء السابق وتفريغ البناي؟"," Complete the previous building and free up a carpenter?"
"NotEnough_Label_HealHero "," هل تريد تضميد ~hero~ ليستعيد كامل صحته؟"," Do you want to heal the ~hero~ to full health?"
"NotEnough_Label_PurchaseResource "," هل أنت متأكد من رغبتك في شراء ~quantity~ من ~resourceType~؟"," Are You Sure You Want To Buy ~quantity~ ~resourceType~?"
"NotEnough_Label_PurchaseShield "," هل أنت متأكد من رغبتك في شراء ~name~؟"," Are You Sure You Want To Buy ~name~?"
"NotEnough_FinishNowLabel_BuyMore "," هل تريد شراء ~quantity~ الناقصة؟"," Buy The Missing ~quantity~?"
"NotEnough_Label_Sell "," هل تريد بيع ~name~ مقابل ~price~ من الذهب؟"," Do You Really Want To Sell ~name~ For ~price~ Gold?"
"NotEnough_Label_Boost "," هل تريد زيادة سرعة ~name~ لتكون السرعة × ~speed~ في ~time~؟"," Boost The ~name~ Speed By x~speed~ For ~time~?"
"NotEnough_Label_Confirm_Cancel "," هل تريد وقف إزالة ~name~؟"," Do You Really Want To Stop Removing ~name~?"
"ObjectInfo_BtnCancel "," ~label~"," ~label~"
"ObjectInfo_BtnFinishNow "," ~label~"," ~label~"
"ObjectInfo_BtnInfo "," ~label~"," ~label~"
"ObjectInfo_BtnSell "," ~label~"," ~label~"
"ObjectInfo_BtnUpgradeElixir "," ~label~"," ~label~"
"ObjectInfo_BtnUpgradeGold "," ~label~"," ~label~"
"ObjectInfo_DestinationPointLabel "," ~label~"," ~name~<Level ~level~>"
"Settings_BtnAbout "," نبذة"," About"
"Settings_BtnConnected "," متصل"," Connected"
"Settings_BtnDisconnected "," غير متصل"," Disconnected"
"Settings_BtnComic "," القصة"," Comic Scene"
"Settings_BtnHelp "," مساعدة"," Help"
"Settings_BtnReset "," إعادة ضبط"," Reset"
"Settings_BtnResetPassword "," إعادة ضبط كلمة المرور"," Reset Password"
"Settings_BtnOn "," تشغيل"," ON"
"Settings_BtnOff "," إيقاف تشغيل"," OFF"
"Settings_CurrentLanguageLabel "," ENGLISH"," English"
"Settings_FacebookLabel "," فيسبوك"," Facebook"
"Settings_LanguageTitle "," اللغة"," Language"
"Settings_MusicLabel "," موسيقى"," Music"
"Settings_SoundLabel "," مؤثرات صوتية"," Sound Effects"
"Settings_Title "," إعدادات"," Settings"
"Settings_AddEmail "," إضافة بريد إلكتروني"," ADD E-MAIL"
"Settings_ChangeEmail "," تغيير بريد إلكتروني"," Change E-mail"
"Settings_LoadEmail "," تحميل بريد إلكتروني"," Load E-mail"
"Settings_EmailLabel "," البريد الإلكتروني:"," E-mail: ~email~"
"Settings_AddEmailTitle "," هل تريد إضافة بريد إلكتروني؟"," ADD E-MAIL?"
"Settings_ChangeEmailTitle "," هل تريد تغيير بريد إلكتروني؟"," CHANGE E-MAIL?"
"Settings_Comic_Text "," القصة"," COMIC CUTSCENE"
"Settings_English_Text "," English"," English"
"Settings_Arabic_Text "," العربية"," العربية"
"Settings_ResetConfirmPopup_Text "," هل أنت متأكد من رغبتك في إعادة الضبط؟"," Are you sure you want to reset?"
"Settings_BtnOk "," موافق"," OK"
"Settings_BtnContinue "," متابعة"," Continue"
"Settings_BtnCancel "," إلغاء"," Cancel"
"Settings_AccountExistPopup_Text "," هذا الحساب موجود!"," Email is already linked to another device!"
"Settings_ResetPasswrodPopUp_Title "," هل تريد إعادة تعيين كلمة المرور؟"," Reset Password?"
"Settings_AddEmailPopUp_Title "," هل تريد إضافة بريد إلكتروني؟"," Add E-mail?"
"Settings_AddEmailPopUp_EmailText "," البريد الإلكتروني"," E-mail"
"Settings_AddEmailPopUp_PasswordText "," كلمة المرور"," Password"
"Settings_AddingEmailText "," إضافة بريد إلكتروني إلى حساب..."," Adding e-mail to account..."
"Settings_EmailEmptyPopup_Text "," الرجاء إدخال البريد الإلكتروني الخاص بك!"," Please enter your email!"
"Settings_InvalidEmailPopup_Text "," عنوان البريد الإلكتروني غير صالح!"," Invalid email address!"
"Settings_InvalidLoadEmailPopup_Text "," بريد إلكتروني غير صحيح أو كلمة مرور غير صحيحة!"," E-mail or Password is incorrect"
"Settings_LoadEmailPopUp_Title "," هل تريد تحميل الحساب من البريد الإلكتروني؟"," Load account from e-mail?"
"Settings_LoadEmailPopUp_EmailText "," البريد الإلكتروني"," E-mail"
"Settings_LoadEmailPopUp_PasswordText "," كلمة المرور"," Password"
"Settings_PasswordEmptyPopup_Text "," الرجاء إدخال كلمة المرور الخاصة بك!"," Please enter your password!"
"Settings_PasswordsDontMatchPopup_Text "," لا يوجد تطابق بين كلمتي المرور!"," Passwords do not match!"
"Settings_LoadEmailPopup_BtnResetPassword "," إعادة تعيين كلمة المرور"," Reset password"
"Settings_LoadEmailPopup_BtnEnterResetCode "," أدخل رمز إعادة تعيين كلمة المرور"," Enter password reset code"
"Settings_EnterPasswordReset "," رمز إعادة تعيين كلمة المرور"," Password reset code"
"Settings_ConfirmPassword "," تأكيد كلمة المرور"," Confirm password"
"Settings_ResetPasswordSucceeded "," تم إرسال البريد الإلكتروني إلى"," Email sent to"
"Settings_PasswordChanged "," لقد تم تغيير كلمة المرور"," Password has been changed"
"Settings_CodeEmpty "," يرجى إدخال الرمز الخاص بك!"," Please enter your code!"
"StorePanel_Title "," السوق"," Souq"
"StorePanel_ButtonTreasure "," الغنائم"," Spoils"
"StorePanel_ButtonResouces "," الموارد"," Resources"
"StorePanel_ButtonDecoration "," الزينة"," Decorations"
"StorePanel_ButtonArmy "," الجيش"," Cavalry"
"StorePanel_ButtonDefenses "," الدفاع"," Defenses"
"StorePanel_ButtonShield "," الدرع"," Armor"
"StorePanel_GoldDisplay "," ~value~"," ~value~"
"StorePanel_WaterDisplay "," ~value~"," ~value~"
"StorePanel_OilDisplay "," ~value~"," ~value~"
"StorePanel_GemDisplay "," ~value~"," ~value~"
"ShopArmyPanel_Title "," الجيش"," Cavalry"
"ShopResource_Title "," الموارد"," Resources"
"ShopDecoration_Title "," الزينة"," Decorations"
"ShopDefenses_Title "," الدفاع"," Defenses"
"ShopShield_Title "," الدرع"," Armor"
"ShopBuilder_Title "," بناي"," Carpenter"
"ShopTreasure_Title "," الغنائم"," Spoils"
"ShopTreasure_Pile_Of_Gems "," حفنة من اللآلئ"," Fistful of Pearls"
"ShopTreasure_Bag_Of_Gems "," جراب من اللآلئ"," Pouch of Pearls"
